time,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,index
2010,22.95287214,0.150782737,0.521180875,0.179670828,-0.348094215,-0.328537586,0.457430951,0.155005833,0.091972689,0.110274919,0.247287962,0.294014258,0.037824044,0.068236972,-0.54405271,0.753415864,0.872150316,0.130729191,0.026208912,0.559055295,0.098298563,-1.419949269,0.194741515,-0.092289621,0.952304839,0.655003727,0.148677959,0.316806457,-0.511268965,0.342521017,0.329069815,4.888598529
2011,24.88981417,0.37056124,0.603124353,0.404793974,-0.276613906,-0.399163708,0.607504824,0.420300324,0.297239181,0.338591434,0.515224181,0.555124989,0.220994036,0.24153722,-0.61174456,0.705105284,0.828261638,-0.078844832,0.236136957,0.684597537,0.290880601,-1.597885737,0.381522272,0.095257076,0.544587484,0.730095426,0.363852802,1.111777439,-0.335653595,0.441088217,-0.290623559,9.137333778
2012,25.43197118,0.517348465,0.688248866,0.551160897,-0.288527291,-0.510147614,0.708884515,0.700714942,0.488649845,0.535460502,0.696774955,0.684942942,0.375505502,-0.053073201,-0.650228604,0.403252961,0.79534513,-0.139995364,0.441316344,0.90429646,0.476635506,-1.1744295,0.548844398,0.248749064,0.349984281,0.797797147,0.505083441,1.162822266,-0.412640679,0.539655416,-0.706621259,12.34234868
2013,26.14025332,0.674986508,0.773246138,0.707280152,-1.01524377,-1.034798807,0.819843388,1.018348946,0.688378646,0.703503088,0.863158175,0.812609859,0.553650088,-0.243703473,-0.68623919,0.229278942,0.78437296,-0.196849056,0.644544238,1.061224262,0.647389683,-1.010757309,0.697912999,0.409078809,0.105949601,0.862876619,0.656304152,1.151897622,-0.501421919,0.815643574,-0.7747745,16.52671556
2014,26.45087952,0.821658076,0.863587549,0.843362053,-1.027157155,-1.085246037,0.920424814,1.309929645,0.892629274,0.83989529,0.972778035,0.927762132,0.715535376,-0.520983869,-0.717266818,-0.011006829,0.740484283,-0.130756599,0.73347841,0.982760361,0.823396959,-0.694517219,0.913008278,0.801713505,-0.701852066,0.92867125,0.795518406,1.134953486,-0.572522919,0.855070453,-0.727129475,19.67462868
2015,26.47532767,0.952952867,0.950111718,0.967233053,-1.06289731,-1.145782713,1.046550728,1.531650242,1.09674914,1.123819852,1.063416302,0.960713452,0.920399312,-0.867584363,-0.746508736,-0.536244268,0.663679097,-0.076828954,0.878927802,1.045531482,0.993999422,-0.373021702,1.070479471,0.989416621,-0.85124313,0.975871746,0.920545898,1.146827745,-0.619963853,1.209912371,-0.406301453,22.77206434
2016,26.53314824,1.119732394,1.053050031,1.116878071,-1.11055085,-1.226498281,1.167088785,1.728912815,1.31739561,1.263794432,1.163180416,1.067692972,1.120425521,-1.144864759,-0.778494042,-0.829950038,0.696595605,-0.369312054,1.051141383,1.092609822,1.169873948,-0.223102751,1.256939603,1.192135986,-0.949788742,1.01210647,1.08117842,1.001398591,-0.712165054,1.131058611,0.064516801,25.66749391
2017,27.06425406,1.367975383,1.146826961,1.343107574,-1.193944544,-1.327392741,1.278845925,1.883173771,1.556037996,1.444460425,1.245886833,1.326029554,1.349180703,-1.422145155,-0.814580042,-0.750906308,0.718539944,-0.603363433,1.290287982,1.123995383,1.374005219,-0.383875426,1.40797618,1.376420224,-1.061640178,1.020926765,1.324891265,1.183557375,-0.736136447,1.32819301,0.414972028,29.52081648
2018,27.60206738,1.620868971,1.214264916,1.607731759,-1.301165008,-1.448466094,1.37942735,1.205581121,1.637036493,1.65445152,1.357510751,1.571254188,1.692213452,-1.69942555,-0.843084523,-0.774623409,0.729512113,-1.278001876,1.537782833,1.155380943,1.587751368,-0.666374578,1.592313552,1.637752121,-1.247365504,1.008053903,1.576034211,1.183557375,-0.793738069,1.347906449,0.368056345,32.87370698
2019,28.15341673,1.815757318,1.273686661,1.815300709,-1.313078393,-1.448466094,1.476017449,1.316971331,1.849588386,1.86604065,1.599195921,1.688026558,1.937811407,-1.924715872,-0.858965618,-0.889459971,0.696595605,-1.58662276,1.83297284,1.312308745,1.825259732,-0.518298422,1.808027969,1.906726217,-1.362347681,0.498145513,1.848278075,1.632475987,-0.746025329,1.466187089,0.537002685,36.61934886
2020,28.51095578,1.894171108,1.427267061,1.860513828,-1.122464235,-1.176051051,1.570212752,1.377580932,1.736847815,1.946421524,1.91804365,1.709351081,2.027094773,-2.06335607,-0.861038561,-0.909223207,0.729512113,-1.757014327,2.10410566,1.563393229,1.963319529,-0.082897055,1.691276176,1.992913231,-1.687830442,0.406843544,1.94303701,1.476173626,-0.790816634,1.840742446,0.535679193,38.19315186
2021,29.652636,2.271293731,1.433374649,2.235363944,-1.193944544,-1.176051051,1.63646877,1.491211013,2.080221261,1.946350461,2.13130073,2.205940789,2.337416943,-2.219326292,-0.888705966,-0.677509518,0.707567775,-3.764615412,2.539824739,1.62616435,2.242027743,-0.541776126,2.056103418,2.485008233,-1.843542529,0.30862837,2.346237107,1.715937623,-0.814411073,2.313865002,0.542908671,44.95972433
